1	10	1	2	4
1	10	9	10	4
1	10	13	14	4
1	10	57	58	4
2	10.01	5	6	27
2	10.01	5	6	27
2	10.01	6	7	27
2	10.01	6	7	27
2	10.01	7	8	27
2	10.01	8	9	27
2	10.01	10	11	27
2	10.01	13	14	27
2	10.01	13	14	27
2	10.01	14	15	27
2	10.01	15	16	27
2	10.01	15	16	27
2	10.01	16	17	27
2	10.01	16	17	27
2	10.01	16	17	27
2	10.01	20	21	27
2	10.01	31	32	27
2	10.01	32	33	27
2	10.01	38	39	27
2	10.01	38	39	27
2	10.01	40	41	27
2	10.01	50	51	27
2	10.01	54	55	27
2	10.01	55	56	27
2	10.01	58	59	27
2	10.01	60	61	27
2	10.01	83	84	27
3	10.02	2	3	24
3	10.02	3	4	24
3	10.02	3	4	24
3	10.02	6	7	24
3	10.02	7	8	24
3	10.02	9	10	24
3	10.02	10	11	24
3	10.02	13	14	24
3	10.02	17	18	24
3	10.02	20	21	24
3	10.02	21	22	24
3	10.02	24	25	24
3	10.02	25	26	24
3	10.02	27	28	24
3	10.02	36	37	24
3	10.02	45	46	24
3	10.02	45	46	24
3	10.02	48	49	24
3	10.02	48	49	24
3	10.02	50	51	24
3	10.02	54	55	24
3	10.02	58	59	24
3	10.02	62	63	24
3	10.02	62	63	24
4	10.03	1	2	14
4	10.03	5	6	14
4	10.03	8	9	14
4	10.03	12	13	14
4	10.03	13	14	14
4	10.03	17	18	14
4	10.03	18	19	14
4	10.03	24	25	14
4	10.03	27	28	14
4	10.03	31	32	14
4	10.03	37	38	14
4	10.03	40	41	14
4	10.03	48	49	14
4	10.03	89	90	14
5	10.04	6	7	32
5	10.04	6	7	32
5	10.04	13	14	32
5	10.04	15	16	32
5	10.04	15	16	32
5	10.04	16	17	32
5	10.04	16	17	32
5	10.04	17	18	32
5	10.04	17	18	32
5	10.04	17	18	32
5	10.04	18	19	32
5	10.04	19	20	32
5	10.04	20	21	32
5	10.04	20	21	32
5	10.04	20	21	32
5	10.04	22	23	32
5	10.04	22	23	32
5	10.04	24	25	32
5	10.04	24	25	32
5	10.04	26	27	32
5	10.04	27	28	32
5	10.04	27	28	32
5	10.04	28	29	32
5	10.04	29	30	32
5	10.04	31	32	32
5	10.04	31	32	32
5	10.04	31	32	32
5	10.04	34	35	32
5	10.04	35	36	32
5	10.04	41	42	32
5	10.04	66	67	32
5	10.04	75	76	32
6	15	4	5	30
6	15	14	15	30
6	15	15	16	30
6	15	16	17	30
6	15	17	18	30
6	15	17	18	30
6	15	17	18	30
6	15	18	19	30
6	15	20	21	30
6	15	20	21	30
6	15	20	21	30
6	15	20	21	30
6	15	20	21	30
6	15	22	23	30
6	15	23	24	30
6	15	24	25	30
6	15	26	27	30
6	15	26	27	30
6	15	27	28	30
6	15	28	29	30
6	15	30	31	30
6	15	31	32	30
6	15	32	33	30
6	15	34	35	30
6	15	36	37	30
6	15	37	38	30
6	15	38	39	30
6	15	45	46	30
6	15	50	51	30
6	15	55	56	30
7	15.01	4	5	30
7	15.01	14	15	30
7	15.01	15	16	30
7	15.01	16	17	30
7	15.01	17	18	30
7	15.01	17	18	30
7	15.01	17	18	30
7	15.01	18	19	30
7	15.01	20	21	30
7	15.01	20	21	30
7	15.01	20	21	30
7	15.01	20	21	30
7	15.01	20	21	30
7	15.01	22	23	30
7	15.01	23	24	30
7	15.01	24	25	30
7	15.01	26	27	30
7	15.01	26	27	30
7	15.01	27	28	30
7	15.01	28	29	30
7	15.01	30	31	30
7	15.01	31	32	30
7	15.01	32	33	30
7	15.01	34	35	30
7	15.01	36	37	30
7	15.01	37	38	30
7	15.01	38	39	30
7	15.01	45	46	30
7	15.01	50	51	30
7	15.01	55	56	30
8	20	8	9	58
8	20	11	12	58
8	20	13	14	58
8	20	14	15	58
8	20	14	15	58
8	20	15	16	58
8	20	15	16	58
8	20	16	17	58
8	20	16	17	58
8	20	17	18	58
8	20	22	23	58
8	20	23	24	58
8	20	23	24	58
8	20	23	24	58
8	20	24	25	58
8	20	25	26	58
8	20	25	26	58
8	20	25	26	58
8	20	25	26	58
8	20	26	27	58
8	20	26	27	58
8	20	27	28	58
8	20	28	29	58
8	20	28	29	58
8	20	28	29	58
8	20	28	29	58
8	20	29	30	58
8	20	31	32	58
8	20	31	32	58
8	20	31	32	58
8	20	32	33	58
8	20	32	33	58
8	20	33	34	58
8	20	33	34	58
8	20	34	35	58
8	20	35	36	58
8	20	35	36	58
8	20	36	37	58
8	20	36	37	58
8	20	37	38	58
8	20	38	39	58
8	20	39	40	58
8	20	39	40	58
8	20	40	41	58
8	20	40	41	58
8	20	40	41	58
8	20	40	41	58
8	20	40	41	58
8	20	42	43	58
8	20	43	44	58
8	20	43	44	58
8	20	45	46	58
8	20	49	50	58
8	20	49	50	58
8	20	50	51	58
8	20	50	51	58
8	20	51	52	58
8	20	55	56	58
9	20.01	5	6	38
9	20.01	6	7	38
9	20.01	8	9	38
9	20.01	8	9	38
9	20.01	8	9	38
9	20.01	8	9	38
9	20.01	9	10	38
9	20.01	11	12	38
9	20.01	11	12	38
9	20.01	13	14	38
9	20.01	16	17	38
9	20.01	16	17	38
9	20.01	17	18	38
9	20.01	20	21	38
9	20.01	22	23	38
9	20.01	23	24	38
9	20.01	25	26	38
9	20.01	25	26	38
9	20.01	28	29	38
9	20.01	30	31	38
9	20.01	31	32	38
9	20.01	32	33	38
9	20.01	32	33	38
9	20.01	33	34	38
9	20.01	34	35	38
9	20.01	36	37	38
9	20.01	36	37	38
9	20.01	37	38	38
9	20.01	38	39	38
9	20.01	38	39	38
9	20.01	41	42	38
9	20.01	43	44	38
9	20.01	43	44	38
9	20.01	45	46	38
9	20.01	47	48	38
9	20.01	53	54	38
9	20.01	54	55	38
9	20.01	55	56	38
10	25	6	7	20
10	25	6	7	20
10	25	7	8	20
10	25	8	9	20
10	25	9	10	20
10	25	10	11	20
10	25	13	14	20
10	25	13	14	20
10	25	13	14	20
10	25	13	14	20
10	25	13	14	20
10	25	13	14	20
10	25	13	14	20
10	25	13	14	20
10	25	16	17	20
10	25	16	17	20
10	25	17	18	20
10	25	17	18	20
10	25	21	22	20
10	25	28	29	20
11	25.01	3	4	20
11	25.01	6	7	20
11	25.01	6	7	20
11	25.01	6	7	20
11	25.01	6	7	20
11	25.01	7	8	20
11	25.01	8	9	20
11	25.01	9	10	20
11	25.01	9	10	20
11	25.01	13	14	20
11	25.01	14	15	20
11	25.01	16	17	20
11	25.01	17	18	20
11	25.01	17	18	20
11	25.01	20	21	20
11	25.01	22	23	20
11	25.01	24	25	20
11	25.01	27	28	20
11	25.01	28	29	20
11	25.01	33	34	20
12	25.02	6	7	42
12	25.02	7	8	42
12	25.02	7	8	42
12	25.02	7	8	42
12	25.02	7	8	42
12	25.02	8	9	42
12	25.02	13	14	42
12	25.02	13	14	42
12	25.02	13	14	42
12	25.02	13	14	42
12	25.02	13	14	42
12	25.02	13	14	42
12	25.02	13	14	42
12	25.02	15	16	42
12	25.02	16	17	42
12	25.02	17	18	42
12	25.02	17	18	42
12	25.02	17	18	42
12	25.02	19	20	42
12	25.02	19	20	42
12	25.02	20	21	42
12	25.02	20	21	42
12	25.02	20	21	42
12	25.02	20	21	42
12	25.02	20	21	42
12	25.02	20	21	42
12	25.02	20	21	42
12	25.02	20	21	42
12	25.02	20	21	42
12	25.02	20	21	42
12	25.02	20	21	42
12	25.02	21	22	42
12	25.02	21	22	42
12	25.02	23	24	42
12	25.02	23	24	42
12	25.02	23	24	42
12	25.02	23	24	42
12	25.02	23	24	42
12	25.02	24	25	42
12	25.02	27	28	42
12	25.02	27	28	42
12	25.02	27	28	42
13	25.03	1	1.01	61
13	25.03	1	2	61
13	25.03	1	2	61
13	25.03	2	3	61
13	25.03	2	3	61
13	25.03	3	4	61
13	25.03	3	4	61
13	25.03	4	5	61
13	25.03	6	7	61
13	25.03	8	9	61
13	25.03	8	9	61
13	25.03	8	9	61
13	25.03	8	9	61
13	25.03	9	10	61
