    Temper          r      Ro      GRR        T   lambda        Dt
77   17.75 0.05565140 16.1303 34.42482 49.96639 1.057229 12.455162
78   17.80 0.05621486 16.3145 34.73129 49.66755 1.057825 12.330320
79   17.85 0.05677721 16.4982 35.05217 49.37282 1.058420 12.208193
80   17.90 0.05734232 16.6839 35.69465 49.08145 1.059018 12.087882
81   17.95 0.05790975 16.8682 35.87997 48.79023 1.059619 11.969438
82   18.00 0.05850970 17.0782 36.80945 48.50141 1.060255 11.846705
83   18.05 0.05907893 17.2627 37.14682 48.21598 1.060859 11.732562
84   18.10 0.05965067 17.4463 37.70609 47.93119 1.061466 11.620107
85   18.15 0.06022287 17.6290 37.78267 47.64876 1.062073 11.509699
86   18.20 0.06079901 17.8132 38.48502 47.36820 1.062685 11.400633
87   18.25 0.06137734 17.9957 38.82976 47.08794 1.063300 11.293209
88   18.30 0.06195815 18.1781 39.83598 46.80930 1.063918 11.187344
89   18.35 0.06254196 18.3595 40.25151 46.53112 1.064539 11.082914
90   18.40 0.06312945 18.5414 40.77969 46.25426 1.065165 10.979776
91   18.45 0.06371710 18.7229 41.17841 45.98055 1.065791 10.878512
92   18.50 0.06430794 18.9030 41.46708 45.70696 1.066421 10.778563
93   18.55 0.06495610 19.1267 42.56652 45.43200 1.067112 10.671011
94   18.60 0.06554945 19.3074 42.99864 45.16420 1.067746 10.574417
95   18.65 0.06614432 19.4857 43.51356 44.89699 1.068381 10.479316
96   18.70 0.06673797 19.6642 43.96712 44.63426 1.069015 10.386100
97   18.75 0.06736752 19.8703 44.23134 44.37192 1.069689 10.289041
98   18.80 0.06796016 20.0448 45.60198 44.11364 1.070323 10.199316
99   18.85 0.06855326 20.2211 45.96191 43.85972 1.070958 10.111075
100  18.90 0.06914683 20.3942 46.48542 43.60649 1.071594 10.024279
101  18.95 0.06973863 20.5678 46.99194 43.35799 1.072228  9.939214
102  19.00 0.07033085 20.7385 47.50405 43.11041 1.072863  9.855522
103  19.05 0.07092320 20.9100 48.77242 42.86648 1.073499  9.773208
104  19.10 0.07151597 21.0786 48.93271 42.62346 1.074135  9.692202
105  19.15 0.07210733 21.2454 49.70377 42.38321 1.074771  9.612714
106  19.20 0.07270170 21.4138 50.04819 42.14531 1.075410  9.534126
107  19.25 0.07329494 21.5782 51.56833 41.90853 1.076048  9.456958
108  19.30 0.07389081 21.7430 52.04230 41.67354 1.076689  9.380696
109  19.35 0.07448944 21.9050 52.48327 41.43829 1.077334  9.305308
110  19.40 0.07508959 22.0672 53.07824 41.20534 1.077981  9.230935
111  19.45 0.07569305 22.2257 54.71946 40.97139 1.078631  9.157343
112  19.50 0.07629844 22.3852 55.07960 40.74002 1.079285  9.084683
113  19.55 0.07690638 22.5409 55.73680 40.50810 1.079941  9.012870
114  19.60 0.07755392 22.7298 55.63885 40.27748 1.080641  8.937616
115  19.65 0.07816853 22.8825 57.96342 40.04645 1.081305  8.867343
116  19.70 0.07878324 23.0341 58.09071 39.81780 1.081970  8.798155
117  19.75 0.07939902 23.1819 58.91900 39.58955 1.082636  8.729921
118  19.80 0.08001724 23.3303 59.10716 39.36343 1.083306  8.662473
119  19.85 0.08069867 23.5279 60.99570 39.13555 1.084044  8.589326
120  19.90 0.08131732 23.6722 61.67837 38.91301 1.084715  8.523980
121  19.95 0.08193758 23.8130 61.88136 38.69081 1.085388  8.459454
122  20.00 0.08255509 23.9530 62.55668 38.47241 1.086059  8.396177
123  20.05 0.08317266 24.0894 64.03471 38.25502 1.086729  8.333835
124  20.10 0.08378598 24.2253 64.73822 38.04213 1.087396  8.272830
125  20.15 0.08439844 24.3570 65.27965 37.83031 1.088062  8.212797
126  20.20 0.08500977 24.4890 67.46315 37.62184 1.088728  8.153736
127  20.25 0.08561755 24.6156 67.36279 37.41500 1.089390  8.095854
128  20.30 0.08622326 24.7424 68.21021 37.21175 1.090050  8.038982
129  20.35 0.08682663 24.8649 68.66429 37.01004 1.090708  7.983117
130  20.40 0.08742771 24.9868 70.49665 36.81153 1.091363  7.928232
131  20.45 0.08802738 25.1040 71.31097 36.61392 1.092018  7.874223
132  20.50 0.08867194 25.2624 71.55917 36.41870 1.092722  7.816985
133  20.55 0.08926840 25.3745 73.56676 36.22497 1.093374  7.764755
134  20.60 0.08986342 25.4857 74.26254 36.03377 1.094025  7.713340
135  20.65 0.09045897 25.5926 74.74234 35.84280 1.094677  7.662559
136  20.70 0.09105403 25.6986 76.83590 35.65396 1.095328  7.612482
137  20.75 0.09165161 25.7997 76.86895 35.46433 1.095983  7.562848
138  20.80 0.09224939 25.9006 77.22899 35.27683 1.096638  7.513840
139  20.85 0.09284774 25.9987 77.85726 35.09021 1.097295  7.465418
140  20.90 0.09344867 26.0904 79.96785 34.90224 1.097954  7.417411
141  20.95 0.09405370 26.1831 80.29681 34.71543 1.098619  7.369696
142  21.00 0.09465800 26.2693 80.74285 34.52852 1.099283  7.322648
143  21.05 0.09526738 26.3560 82.67594 34.34225 1.099953  7.275808
144  21.10 0.09587968 26.4365 82.81028 34.15474 1.100627  7.229344
145  21.15 0.09649239 26.5170 83.60470 33.96937 1.101301  7.183439
146  21.20 0.09710812 26.5952 85.44268 33.78431 1.101980  7.137891
147  21.25 0.09772505 26.6663 85.56859 33.59835 1.102660  7.092830
148  21.30 0.09834145 26.7375 86.19101 33.41487 1.103339  7.048373
149  21.35 0.09895846 26.8028 87.71205 33.23118 1.104020  7.004426
150  21.40 0.09965670 26.9357 88.01206 33.04798 1.104792  6.955349
151  21.45 0.10027336 26.9944 88.38476 32.86645 1.105473  6.912576
152  21.50 0.10088779 27.0540 89.65787 32.68815 1.106153  6.870476
153  21.55 0.10155977 27.1611 90.27754 32.51076 1.106896  6.825017
154  21.60 0.10216680 27.2101 90.27114 32.33524 1.107568  6.784466
155  21.65 0.10277066 27.2596 90.95073 32.16293 1.108237  6.744602
156  21.70 0.10337067 27.3020 91.63635 31.99128 1.108902  6.705453
157  21.75 0.10396451 27.3447 92.55748 31.82358 1.109561  6.667152
158  21.80 0.10455386 27.3837 92.16510 31.65783 1.110215  6.629570
